start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
2019-10-01 02:00:18,6315,2019-10-01 02:24:25,6258,1447,1
2019-10-01 02:05:30,6908,2019-10-01 02:12:02,6266,392,1
2019-10-01 02:07:38,6227,2019-10-01 02:11:25,6201,227,1
2019-10-01 02:08:32,6248,2019-10-01 02:25:36,6388,1023,1
2019-10-01 02:17:33,6157,2019-10-01 02:29:38,6229,725,1
2019-10-01 02:18:51,6070,2019-10-01 02:26:35,6214,464,1
2019-10-01 02:19:03,6231,2019-10-01 02:36:22,7014,1038,1
2019-10-01 02:25:08,6112,2019-10-01 02:49:35,6359,1467,1
2019-10-01 02:27:13,7059,2019-10-01 02:30:07,7143,174,1
2019-10-01 02:27:59,6114,2019-10-01 02:33:54,6014,354,1
2019-10-01 02:34:44,6158,2019-10-01 02:41:35,6094,410,1
2019-10-01 02:35:19,6127,2019-10-01 02:38:48,6330,209,1
2019-10-01 02:37:36,7014,2019-10-01 02:48:32,7010,655,1
2019-10-01 02:38:46,6199,2019-10-01 02:53:57,7033,911,1
2019-10-01 02:40:59,6258,2019-10-01 02:53:05,6277,726,1
2019-10-01 02:45:50,6107,2019-10-01 02:48:57,6102,187,1
2019-10-01 02:48:15,6194,2019-10-01 02:52:32,6092,256,1
2019-10-01 02:50:44,6117,2019-10-01 02:59:40,6743,536,0
2019-10-01 02:52:06,7009,2019-10-01 02:57:34,6112,328,1
2019-10-01 02:53:57,6007,2019-10-01 02:55:46,6099,108,1
2019-10-01 02:55:22,6103,2019-10-01 03:00:29,6386,307,1
2019-10-01 02:56:32,6157,2019-10-01 03:10:21,6261,828,1
2019-10-01 02:58:22,6063,2019-10-01 03:10:40,6436,737,1
2019-10-01 02:59:58,6059,2019-10-01 03:09:04,6409,546,0
2019-10-01 03:01:23,6014,2019-10-01 03:05:31,6359,248,1
2019-10-01 03:02:56,6332,2019-10-01 03:21:02,7022,1085,1
2019-10-01 03:05:56,6154,2019-10-01 03:09:38,6160,222,0
